,casscf,d,hf,z1,z2
232,-162.87834915166678,1.8,-162.8470113266668,3.000000000000001,11.0
233,-162.88842506736856,1.9,-162.86659173736857,3.000000000000001,11.0
234,-162.8963039050001,2.0,-162.88237520000013,3.000000000000001,11.0
235,-162.9019615407144,2.1,-162.8942596257144,3.000000000000001,11.0
236,-162.9054726750001,2.2,-162.9024625100001,3.000000000000001,11.0
237,-162.90690849630445,2.3,-162.90726005130446,3.000000000000001,11.0
238,-162.9063263000001,2.4,-162.9089058600001,3.000000000000001,11.0
239,-162.90381201000008,2.5,-162.9076509900001,3.000000000000001,11.0
240,-162.8999557103847,2.6,-162.9037393453847,3.000000000000001,11.0
241,-162.8948103294445,2.7,-162.89726837444454,3.000000000000001,11.0
242,-162.88807909428579,2.8,-162.8882634042858,3.000000000000001,11.0
243,-162.87996561172423,2.9,-162.87682879172422,3.000000000000001,11.0
244,-162.8760076800001,3.0,-162.8631740600001,3.000000000000001,11.0
245,-162.86640535338717,3.1,-162.84762137838717,3.000000000000001,11.0
246,-162.85673758500008,3.2,-162.8306053700001,3.000000000000001,11.0
247,-162.8476377650001,3.3,-162.81265716000007,3.000000000000001,11.0
248,-162.83967633647066,3.4,-162.79437045647066,3.000000000000001,11.0
249,-162.83321568642864,3.5,-162.77635199142867,3.000000000000001,11.0
250,-162.8283181533334,3.6,-162.7591623033334,3.000000000000001,11.0
251,-162.82479295148656,3.7,-162.74325758648655,3.000000000000001,11.0
252,-162.82234086368425,3.8,-162.72894770368427,3.000000000000001,11.0
253,-162.82067335192312,3.9,-162.71638304692314,3.000000000000001,11.0
254,-162.81955905000007,4.0,-162.70557115000005,3.000000000000001,11.0
255,-162.81882633646347,4.1,-162.69641234146349,3.000000000000001,11.0
256,-162.8183522378572,4.2,-162.6887404228572,3.000000000000001,11.0
257,-162.81805045779078,4.3,-162.68235832279078,3.000000000000001,11.0
258,-162.8176318660639,4.7,-162.66592810106388,3.000000000000001,11.0
259,-162.81760666500006,4.8,-162.66331907000006,3.000000000000001,11.0
260,-162.8175917638776,4.9,-162.6610812438776,3.000000000000001,11.0
261,-155.04409741200044,0.6,-155.15872476000044,3.200000000000001,10.799999999999999
262,-156.93856787200033,0.8,-157.03253837000034,3.200000000000001,10.799999999999999
263,-157.33023371400031,0.9,-157.3927706300003,3.200000000000001,10.799999999999999
264,-157.6687226734548,1.1,-157.68400342545476,3.200000000000001,10.799999999999999
265,-157.77452966276942,1.3,-157.76301411076943,3.200000000000001,10.799999999999999
266,-157.7954139182859,1.4,-157.7830722542859,3.200000000000001,10.799999999999999
267,-157.82334005000013,1.6,-157.82419172000016,3.200000000000001,10.799999999999999
268,-157.84456313000013,1.8,-157.86690896000013,3.200000000000001,10.799999999999999
269,-157.8517993397896,1.9,-157.8847521657896,3.200000000000001,10.799999999999999
270,-157.85780121634795,2.3,-157.92158165434793,3.200000000000001,10.799999999999999
271,-157.8550031680001,2.4,-157.92274602000012,3.200000000000001,10.799999999999999
272,-157.8509158820001,2.5,-157.9209755100001,3.200000000000001,10.799999999999999
273,-157.84566426938468,2.6,-157.9163967753847,3.200000000000001,10.799999999999999
274,-157.83935623400012,2.7,-157.90916426000013,3.200000000000001,10.799999999999999
275,-157.83209827114294,2.8,-157.89948269714296,3.200000000000001,10.799999999999999
276,-157.82400819289666,2.9,-157.88763065689662,3.200000000000001,10.799999999999999
277,-157.81522567000007,3.0,-157.87398219000008,3.200000000000001,10.799999999999999
278,-157.8059187601291,3.1,-157.8590181461291,3.200000000000001,10.799999999999999
279,-157.79628405600008,3.2,-157.84331573000009,3.200000000000001,10.799999999999999
280,-157.78653951581822,3.3,-157.82750679181825,3.200000000000001,10.799999999999999
281,-157.77691105717656,3.4,-157.81220860117654,3.200000000000001,10.799999999999999
282,-157.76761566371437,3.5,-157.79794684571436,3.200000000000001,10.799999999999999
283,-157.75074886475682,3.7,-157.77386592675686,3.200000000000001,10.799999999999999
284,-157.74343139189483,3.8,-157.7642954078948,3.200000000000001,10.799999999999999
285,-157.73694217292314,3.9,-157.75630356692312,3.200000000000001,10.799999999999999
286,-157.73128059800007,4.0,-157.74972267000007,3.200000000000001,10.799999999999999
287,-157.72640235887812,4.1,-157.74434135487812,3.200000000000001,10.799999999999999
288,-157.7222312194286,4.2,-157.73993994142864,3.200000000000001,10.799999999999999
289,-157.7186733573954,4.3,-157.7363154213954,3.200000000000001,10.799999999999999
290,-157.71301135800005,4.5,-157.73073787000007,3.200000000000001,10.799999999999999
291,-157.710733968174,4.6,-157.728536602174,3.200000000000001,10.799999999999999
292,-157.70873093365964,4.7,-157.72660868765962,3.200000000000001,10.799999999999999
293,-157.70694747600004,4.8,-157.72489277000005,3.200000000000001,10.799999999999999
294,-157.7053402632245,4.9,-157.72334334122453,3.200000000000001,10.799999999999999
295,-157.70387551000005,5.0,-157.72192669000006,3.200000000000001,10.799999999999999
296,-150.1857287233338,0.6,-150.3028475033338,3.4000000000000012,10.599999999999998
297,-151.4164690667861,0.7,-151.5547173742861,3.4000000000000012,10.599999999999998
298,-152.13886902500036,0.8,-152.24610097000033,3.4000000000000012,10.599999999999998
299,-152.5430607163892,0.9,-152.6214442488892,3.4000000000000012,10.599999999999998
300,-152.7687815400003,1.0,-152.82307290000028,3.4000000000000012,10.599999999999998
301,-152.89645928659115,1.1,-152.92968429909118,3.4000000000000012,10.599999999999998
302,-152.9674879041669,1.2,-152.98573862666692,3.4000000000000012,10.599999999999998
303,-153.00714311384635,1.3,-153.01725931384635,3.4000000000000012,10.599999999999998
304,-153.03108249214307,1.4,-153.03936131714306,3.4000000000000012,10.599999999999998
305,-153.04797072583352,1.5,-153.05967754333352,3.4000000000000012,10.599999999999998
306,-153.06155576250018,1.6,-153.08054446000017,3.4000000000000012,10.599999999999998
307,-153.07270485750016,1.7,-153.10131865000017,3.4000000000000012,10.599999999999998
308,-153.0812231094446,1.8,-153.1205021644446,3.4000000000000012,10.599999999999998
309,-153.08695166486856,1.9,-153.13698113736856,3.4000000000000012,10.599999999999998
310,-153.09009350000014,2.0,-153.15031512000013,3.4000000000000012,10.599999999999998
311,-153.09108850309536,2.1,-153.16051653809535,3.4000000000000012,10.599999999999998
312,-153.09039997454556,2.2,-153.16776300454558,3.4000000000000012,10.599999999999998
313,-153.09257812326098,2.3,-153.172239758261,3.4000000000000012,10.599999999999998
314,-153.09200360333347,2.4,-153.17410649333345,3.4000000000000012,10.599999999999998
315,-153.09010060250012,2.5,-153.17351852000013,3.4000000000000012,10.599999999999998
316,-153.08693817192318,2.6,-153.1706545669232,3.4000000000000012,10.599999999999998
317,-153.08259506046306,2.7,-153.16573732296305,3.4000000000000012,10.599999999999998
318,-153.07717364607151,2.8,-153.15904808857152,3.4000000000000012,10.599999999999998
319,-153.0708139635346,2.9,-153.1509363410346,3.4000000000000012,10.599999999999998
320,-153.06370796416675,3.0,-153.14182003666676,3.4000000000000012,10.599999999999998
321,-153.05611209943558,3.1,-153.13216978193557,3.4000000000000012,10.599999999999998
322,-153.0483531375001,3.2,-153.12247397000007,3.4000000000000012,10.599999999999998
323,-153.0277370328572,3.5,-153.09721018285722,3.4000000000000012,10.599999999999998
324,-153.02686296972232,3.6,-153.0908720922223,3.4000000000000012,10.599999999999998
325,-153.02414622925681,3.7,-153.08565361675682,3.4000000000000012,10.599999999999998
326,-153.02189106618428,3.8,-153.08144534368427,3.4000000000000012,10.599999999999998
327,-153.0184082725001,4.0,-153.0754034400001,3.4000000000000012,10.599999999999998
328,-153.0170252492074,4.1,-153.07323370170738,3.4000000000000012,10.599999999999998
329,-153.0158022890477,4.2,-153.0714422190477,3.4000000000000012,10.599999999999998
330,-153.0146984718024,4.3,-153.06992397930242,3.4000000000000012,10.599999999999998
331,-153.0136845847728,4.4,-153.06860186727278,3.4000000000000012,10.599999999999998
332,-153.01020547666673,4.8,-153.0644160466667,3.4000000000000012,10.599999999999998
333,-145.48942798600046,0.6,-145.68435918000048,3.6000000000000014,10.399999999999999
334,-147.53401180000037,0.8,-147.69031343000037,3.6000000000000014,10.399999999999999
335,-147.95718402000028,0.9,-148.07880835000032,3.6000000000000014,10.399999999999999
336,-148.1956199340003,1.0,-148.28902875000028,3.6000000000000014,10.399999999999999
337,-148.32913725090935,1.1,-148.40147693090935,3.6000000000000014,10.399999999999999
338,-148.40308442200023,1.2,-148.46152272000023,3.6000000000000014,10.399999999999999
339,-148.4442031920002,1.3,-148.49551311000022,3.6000000000000014,10.399999999999999
340,-148.46846653314304,1.4,-148.51861666714305,3.6000000000000014,10.399999999999999
341,-148.4848266320002,1.5,-148.53857815000018,3.6000000000000014,10.399999999999999
342,-148.49744419200016,1.6,-148.55806343000017,3.6000000000000014,10.399999999999999
343,-148.5076752578825,1.7,-148.5769104458825,3.6000000000000014,10.399999999999999
344,-148.51573192400016,1.8,-148.59408722000018,3.6000000000000014,10.399999999999999
345,-148.52166629610542,1.9,-148.60881289210542,3.6000000000000014,10.399999999999999
346,-148.52569630000013,2.0,-148.62082763000015,3.6000000000000014,10.399999999999999
347,-148.5281540034287,2.1,-148.63021461142873,3.6000000000000014,10.399999999999999
348,-148.52935114945473,2.2,-148.6371676754547,3.6000000000000014,10.399999999999999
349,-148.5295140630436,2.3,-148.6418741030436,3.6000000000000014,10.399999999999999
350,-148.5287942300001,2.4,-148.6445009300001,3.6000000000000014,10.399999999999999
351,-148.52730531600008,2.5,-148.6452204100001,3.6000000000000014,10.399999999999999
352,-148.5251528960001,2.6,-148.64423338000012,3.6000000000000014,10.399999999999999
353,-148.52245036933343,2.7,-148.64178082333345,3.6000000000000014,10.399999999999999
354,-148.5193266725715,2.8,-148.6381463985715,3.6000000000000014,10.399999999999999
355,-148.51592950813804,2.9,-148.63365201413802,3.6000000000000014,10.399999999999999
356,-148.5124229160001,3.0,-148.6286443600001,3.6000000000000014,10.399999999999999
357,-148.50897621380653,3.1,-148.62347053580655,3.6000000000000014,10.399999999999999
358,-148.50574453200005,3.2,-148.61844534000008,3.6000000000000014,10.399999999999999
359,-148.50284663363647,3.3,-148.61381832363645,3.6000000000000014,10.399999999999999
360,-148.50034945094126,3.4,-148.60975142294126,3.6000000000000014,10.399999999999999
361,-148.49826607685722,3.5,-148.60631450285723,3.6000000000000014,10.399999999999999
362,-148.49656685200006,3.6,-148.60349898000007,3.6000000000000014,10.399999999999999
363,-148.49181699995128,4.1,-148.59599775195127,3.6000000000000014,10.399999999999999
364,-148.49077623251168,4.3,-148.59458495651168,3.6000000000000014,10.399999999999999
365,-141.12756559750048,0.6,-141.3040964000005,3.8000000000000016,10.2
366,-142.43626432107186,0.7,-142.63378904857186,3.8000000000000016,10.2
367,-143.20210020000042,0.8,-143.36527688000038,3.8000000000000016,10.2
368,-143.63133890333367,0.9,-143.76433984333363,3.8000000000000016,10.2
369,-143.8722411200003,1.0,-143.9809039900003,3.8000000000000016,10.2
370,-144.00649485340938,1.1,-144.09714062090936,3.8000000000000016,10.2
371,-144.08036674000024,1.2,-144.15925799000024,3.8000000000000016,10.2
372,-144.120985866731,1.3,-144.19393155923098,3.8000000000000016,10.2
373,-144.14442453178592,1.4,-144.2164370842859,3.8000000000000016,10.2
374,-144.1596814400002,1.5,-144.2346840400002,3.8000000000000016,10.2
